#  Scan CV
#  Measurement Settings:
#  Power supply voltage limit:      2.10E+01 V
#  Power supply current limit:      5.00E-04 A
#  LCR measurement voltage:         5.01E-01 V
#  LCR measurement frequency:          5E+04 Hz
#  Voltage Delay:                      20.00 s
#  Channel Delay:                       0.20 s
#  Probecard temperature:               -1.0 C
#  Switchcard temperature:              24.4 C
#  Switchcard measurement setting:  CV
#  Switchcard display setting:      OFF
# 
# 
#  Nominal Voltage [V]	 Measured Voltage [V]	Channel [-]	R [kOhm]	R_Err [kOhm]	X [kOhm]	X_Err [kOhm]	C [pF]	Total Current [A]
# 
2.50000E+01	2.49848E+01	4.00000E+00	9.31272E+04	2.53486E+01	-4.70696E+04	2.91535E+01	6.76254E+01	6.68102E-09
2.50000E+01	2.49855E+01	5.00000E+00	9.91393E+04	2.36425E+01	-5.16101E+04	2.54408E+01	6.16759E+01	-7.05189E-10
2.50000E+01	2.49850E+01	6.00000E+00	9.86934E+04	2.57811E+01	-5.12343E+04	3.38242E+01	6.21282E+01	-3.37466E-09
2.50000E+01	2.49848E+01	7.00000E+00	9.78028E+04	3.17262E+01	-5.08458E+04	1.94005E+01	6.26029E+01	-1.39601E-09
2.50000E+01	2.49850E+01	8.00000E+00	9.51740E+04	1.96048E+01	-4.90049E+04	3.02195E+01	6.49547E+01	-5.57052E-11
2.50000E+01	2.49852E+01	9.00000E+00	9.49823E+04	1.01705E+01	-4.88277E+04	2.84737E+01	6.51904E+01	-8.78176E-09
2.50000E+01	2.49855E+01	1.00000E+01	9.47985E+04	1.50642E+01	-4.83094E+04	1.57790E+01	6.58898E+01	-5.06106E-09
2.50000E+01	2.49852E+01	1.10000E+01	9.32680E+04	2.06660E+01	-4.70184E+04	2.51052E+01	6.76990E+01	-5.73074E-09
2.50000E+01	2.49847E+01	1.20000E+01	9.32788E+04	2.45206E+01	-4.71187E+04	2.93487E+01	6.75550E+01	-4.07920E-09
2.50000E+01	2.49846E+01	1.30000E+01	9.45846E+04	2.44839E+01	-4.82014E+04	2.45234E+01	6.60374E+01	-4.66307E-09
2.50000E+01	2.49853E+01	1.40000E+01	9.42986E+04	2.40491E+01	-4.82213E+04	3.40998E+01	6.60102E+01	-7.58964E-09
2.50000E+01	2.49857E+01	1.50000E+01	9.53088E+04	1.45966E+01	-4.90264E+04	2.42623E+01	6.49262E+01	-5.60061E-09
2.50000E+01	2.49849E+01	1.60000E+01	9.02460E+04	2.51201E+01	-4.52767E+04	1.94854E+01	7.03032E+01	-3.87629E-09
