#
# This is an automatically generated geo file
# Script: ../bin/create_regular_geofile.py
#
# Draws all available cell shapes
#
# padnumber	xposition	yposition	type	optional


169	+1.34	+1.85	12	SIZE:0.45,X_STRETCH:7.84,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
170	+1.35	+2.06	12	SIZE:0.45,X_STRETCH:7.94,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
171	+1.37	+2.27	12	SIZE:0.45,X_STRETCH:8.03,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
172	+1.38	+2.47	12	SIZE:0.45,X_STRETCH:8.12,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
173	+1.40	+2.68	12	SIZE:0.45,X_STRETCH:8.22,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
174	+1.41	+2.88	12	SIZE:0.45,X_STRETCH:8.31,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
175	+1.43	+3.09	12	SIZE:0.45,X_STRETCH:8.41,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
176	+1.44	+3.29	12	SIZE:0.45,X_STRETCH:8.50,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
177	+1.46	+3.50	12	SIZE:0.45,X_STRETCH:8.59,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
178	+1.47	+3.70	12	SIZE:0.45,X_STRETCH:8.69,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
179	+1.49	+3.91	12	SIZE:0.45,X_STRETCH:8.78,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
180	+1.50	+4.12	12	SIZE:0.45,X_STRETCH:8.88,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
181	+1.52	+4.32	12	SIZE:0.45,X_STRETCH:8.97,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
182	+1.53	+4.53	12	SIZE:0.45,X_STRETCH:9.06,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
183	+1.55	+4.73	12	SIZE:0.45,X_STRETCH:9.16,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
184	+1.56	+4.94	12	SIZE:0.45,X_STRETCH:9.25,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
185	+1.58	+5.14	12	SIZE:0.45,X_STRETCH:9.34,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
186	+1.59	+5.35	12	SIZE:0.45,X_STRETCH:9.44,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
187	+1.61	+5.55	12	SIZE:0.45,X_STRETCH:9.53,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
188	+1.62	+5.76	12	SIZE:0.45,X_STRETCH:9.62,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
189	+1.64	+5.96	12	SIZE:0.45,X_STRETCH:9.72,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
190	+1.65	+6.17	12	SIZE:0.45,X_STRETCH:9.81,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
191	+1.67	+6.38	12	SIZE:0.45,X_STRETCH:9.91,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
192	+1.68	+6.58	12	SIZE:0.45,X_STRETCH:10.00,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
193	+2.14	-6.60	12	SIZE:0.45,X_STRETCH:4.09,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
194	+2.18	-6.40	12	SIZE:0.45,X_STRETCH:4.19,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
195	+2.23	-6.20	12	SIZE:0.45,X_STRETCH:4.28,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
196	+2.27	-6.00	12	SIZE:0.45,X_STRETCH:4.38,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
197	+2.32	-5.80	12	SIZE:0.45,X_STRETCH:4.47,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
198	+2.36	-5.59	12	SIZE:0.45,X_STRETCH:4.56,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
199	+2.41	-5.39	12	SIZE:0.45,X_STRETCH:4.66,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
200	+2.46	-5.19	12	SIZE:0.45,X_STRETCH:4.75,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
201	+2.50	-4.99	12	SIZE:0.45,X_STRETCH:4.84,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
202	+2.55	-4.79	12	SIZE:0.45,X_STRETCH:4.94,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
203	+2.59	-4.59	12	SIZE:0.45,X_STRETCH:5.03,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
